medicamento,substancia
Sandoglobulina Privigen 5g (100mg/ml) Frasco 50ml,IMUNOGLOBULINA HUMANA
FENOBARBITAL 40 mg,FENOBARBITAL
DOMPERIDONA SUSPENSAO ORAL 1MG/ML 100ML,DOMPERIDONA
LORAZEPAM 2MG - COMPRIMIDO,LORAZEPAM
INSULINA REGULAR HUMANA 100UI/ML-FA (SC),INSULINA REGULAR
TRIMBOW 120 DOSES + DISP GELAD GELAD,BECLOMETASONA + FORMOTEROL + GLICOPIRRONIO
LACTULOSE 667 MG/ML 120 ML XAROPE,LACTULOSE
Koselugo 10mg Cap (Não Padrão),SELUMETINIBE
Cilostazol 50mg Comprimido,Cilostazol
(ALTA VIGILÂNCIA) VASopressina (20 UI/1 mL) 20 UI/mL,Vasopressina
"Gentamicina 80mg/2ml, injetável",GENTAMICINA
DIMENIDRINATO 30MG+PIRIDOXINA 50MG+GLIC0 1G 10ML  IV,DIMENIDRINATO + PIRIDOXINA(B6) + GLICOSE + FRUTOSE
"Kollagenase + Cloranfenicol 0,6U+0,01g/g Pomada 30g",COLAGENASE+CLORANFENICOL (TOPICO)
"HALOPERIDOL DECANOATO AMP 70,52MG",HaloPERidol
GABAPENTINA 400MG CP,GABAPENTINA
"Clonidina 0,100 mg  cp",CLONIDINA
Cetoconazol 20mg/g Creme 30g,CETOCONAZOL (TÓPICO)
AGUA DESTILADA 10ML,AGUA DESTILADA
RIVAROXABANA 15 mg,RIVAROXABANA
"BISOPROLOL 2,5MG VO",BISOPROLOL
ESC ODT 15 MG (ESCITALOPRAM) (NP),ESCitalopram
CIPROFLOXACINO SOL INJ 200MG/100ML FR,CIPROFLOXACINO  
Sulfato De Magnésio 10% Inj. - 10ml (AV),SULFATO DE MAGNESIO
Dicloridrato de Trimetazidina 80mg,TRIMETAZIDINA
Dolutegravir 50mg Cpr,DOLUTEGRAVIR
AAS Protect 100mg Cp rev (Não Padrão),ACIDO ACETILSALICILICO <200MG
NitroGLICERINA EV AMP 10 ML 5 mg/mL,NitroGLICERINA
Hidroxido de ferro 20mg/mL - 5mL,HIDROXIDO DE FERRO
SALBUTAMOL 100MCG - AEROSSOL - FRASCO 200 DOSES,SALBUTAMOL (ALBUTEROL)
CiclosPORINA 100 mg,CiclosPORINA
FLUORURACILA 500MG/10ML FAM,FLUOROURACILA
Dipirona Sódica 500mg Cp,DipiRONA
"Tetracaína 1% e Fenilefrina 0,1% colirio frasco c/ 10mL",TETRACAINA + FENILEFRINA (OFTALMICO)
CIMETIDINA SOL INJ 300MG/2ML AMP EV BOLUS,cimetidina
Sulfametoxazol 400mg + Trimetoprima 80mg Comprimido,SULFAMETOXAZOL+TRIMETOPRIMA
SELOZOK 50MG 60CP REV LIB PROL,METOPROLOL SUCCINATO
"FENAZOPIRIDINA, CLOR. 200MG CP",FENAZOPIRIDINA
RIVAROXABANA 20MG CP,RIVAROXABANA
Gabapentina 300 Mg Cap.,GABAPENTINA
HIPODERMOCLISE - DICLOFENACO SODICO 75MG/3ML AMP,DICLOFENACO SODICO
"Cloreto de Potassio 19,1% ( 2,56 mEq/mL) AMPOLA OCTAGONAL10mL - (MPP)",CLORETO DE POTASSIO
Paroxetina 20mg cp,PAROXETINA
PUSH CALCIO CONCENTRADO - HIPERCALEMIA,GLUCONATO DE CALCIO
IOBITRIDOL 350 100ML FAM,IOBITRIDOL
DEXPANTENOL 5% 30 G (BEPANTOL BABY),DEXPANTENOL (TOPICO)
Trileptal 600mg Comprimido,OXCARBAZEPINA
MPP:  RIPE,ETAMBUTOL + ISONIAZIDA + PIRAZINAMIDA + RIFAMPICINA
"SORO FISIOLOGICO 0,9% 10ML AMPOLA","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
CLORIDRATO CEFEPIMA 1G PO INJ FA C/1G,CEFEPIMA
FENOBARBITAL 100MG - COMPRIMIDO,FENOBARBITAL
Cloridrato De HidrALAZINA 20mg/mL Ampola 1mL | Solução Injetável,HidrALAZINA
"POLICRESULENO 0,1G, CINCHOCAINA 0,01G/G-15G/3G 30G",POLICRESULENO+CINCHOCAINA (TOPICO)
FENOBARBITAL 100MG - CP,FENOBARBITAL
Toxina Botulínica A 100UI Inj ,TOXINA BOTULINICA
"COMPLEXO B, FR C/30ML",VITAMINAS DO COMPLEXO B
Ibuprofeno 600mg cp,IBUPROFENO
"Heparina Sódica SC 5000UI/ml amp. 0,25mL",Heparina
Siilif 50mg Comprimido Revestido,BROMETO DE PINAVERIO
CLORIDRATO DE BIPERIDENO 2 mg,BIPERIDENO
Doxazosina 2mg + Finasterida 5mg - cápsula dura ,DOXAZOSINA + FINASTERIDA
VILDAGLIPTINA 50 mg,VILDAGLIPTINA
"ALPRAzolam 0,5mg Cp (Med. Controlado)",ALPRAZOLAM
"Yaz Flex 3/0,02mg Cp rev (Não Padrão)",DROSPIRENONA + ETINILESTRADIOL
ROCURONIO 10MG/ML 5ML EV - LENTO CARDIOPED (MED RISCO),ROCURONIO
"Primosiston 2/0,01mg Cp (Não Padrão)",ESTRADIOL + NORETISTERONA
"Acertalix (5mg/1,25mg) Comprimido Revestido",PERINDOPRIL ARGININA + INDAPAMIDA
"DEXAmetasona 0,5MG/5ML ELIXIR FR 120ML",DEXAMETASONA
CICLOFOSFAMIDA 50 MG - CPR,ciclofosfamida
"Salbutamol 0,4 mg/mL xarope Fr 120 ml ",SALBUTAMOL (ALBUTEROL)
Cobavital Cp.,CIPROEPTADINA + COBAMAMIDA
SOLUCAO RINGER LACTATO 500ML SISTEMA FECHADO- LIVRE DE PVC,(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO
"QT METOTREXATO 2,5MG CPR - MPP",METOTREXATO
"Zopiclona 7,5mg Comprimido",ZOPICLONA
Ciprofloxacino 2mg/ml + Hidrocortisona 10mg/ml Gts. 5ml,ciprofloxacino + HIDROCORTISONA (otológico)
MESNA 400MG IV,MESNA
CIPROFLOXACINO 2MG/ML SOLUCAO INJETAVEL FRASCO 100ML,CIPROFLOXACINO  
"ESPIRAMICINA COMPRIMIDO REVESTIDO 1,5MUI (500MG)",ESPIRAMICINA
CIPROFLOXACINA COMPRIMIDOS,CIPROFLOXACINO  
"CLORETO DE SODIO 0,9% 1000mL SIST FECHADO","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
"Epitezan Pomada Oftálmica Tb. 3,5g",RETINOL+AMINOACIDO+METIONINA+CLORANFENICOL (OFTÁMICO)
ESOMEPRAZOL 40MG - NP (NP),ESOMEPRAZOL SODICO
REGORAFENIBE 40MG CP,REGORAFENIBE
"CANDESARTANA CILEXETILA 16 mg + HIDROCLOROTIAZIDA 12,5 mg",CANDESARTANA + HIDROCLOROTIAZIDA
ESCINA + SALICILATO DE DIETILAMONIO 30 G GEL,ESCINA + DIETILAMONIO (TÓPICO)
Midodrina 5mg Comprimido,MIDODRINA
"Lumigan RC (Bimatoprosta) 0,1mg/mL Sol. Oft 3mL",BIMATOPROSTA (OFTALMICO)
"Carvedilol 12,5mg Cp.",CarVEDilol
BUTILBROMETO DE ESCOPOLAMINA 10MG +DIPIRONA 250MG - VIA ORAL - COMPRIMIDO,ESCOPOLAMINA + DIPIRONA
TOPIRAMATO COMP 25MG,TOPIRAMATO
ANIDULAFUNGINA 100MG,ANIDULAFUNGINA
Soluçao de Glicose 10% Fr. 500ml,SOLUCAO DE GLICOSE (SORO GLICOSADO)
CITRATO DE SILDENAFILA COMP C/25MG,SILDENAFILA
IMIPENEM/CILASTATINA 500MG/100ML  -  EV,IMIPENEM + CILASTATINA
Abemaciclibe 50mg Cp rev,ABEMACICLIBE
Clozapina 25mg Comprimido,Clozapina
CLORIDRATO DE VALACICLOVIR 500 mg,VALACICLOVIR
"TERBUTALINA 0,5MG/ML C/1ML INJ INTRAVENOSO",TERBUTALINA
CIPROFLOXACINO  Bolsa 100 mL 2 mg/mL,CIPROFLOXACINO  
SUCC. SODICO DE HIDROCORTISONA 100MG PO LIOFILIZADO FA,HIDROCORTISONA SUCCINATO SODICO
AMPICILINA 2.0G + SULBACTAN 1.0G FAM,AMPICILINA SODICA + SULBACTAM
DOMPERIDONA 1MG/ML 100ML SUSP ORAL,DOMPERIDONA
Diazepam 10mg Cp.,DIAZEPAM
NEVIRAPINA 10MG/ML 10 mg/mL,NEVIRAPINA
SYSTANE 1 ml,POLIETILENOGLICOL 4000 + PROPILENOGLICOL + HIDROXIPROPIL GUAR + ACIDO BORICO + MINERAIS + HIDROXIDO DE SODIO E/OU ACIDO CLORÍDRICO + POLYQUAD
DPREV 14.000 UI 4 CP REV,COLECALCIFEROL (VITAMINA D)
BLEOMICINA 15 UI,BLEOMICINA
"METILSULFATO DE NEOSTIGMINA 0,5 MG/ML (AMPOLA) IM",NEOSTIGMINA
DORMIUM 1MG/ML - C/ 5ML ( 5MG ) ( MIDAZOLAM )+AD,MIDAZOLAM
AMITRIPTILINA 25MG CP,AMITRIPTILINA
VITAMINA B5 DEXPANTENOL 5% POMADA Prevencao,DEXPANTENOL (TOPICO)
TERBUTALINA  SC/EV AMP 1 ML 0.5 mg/mL,TERBUTALINA
Lidocaína + epinefrina 2% frasco c/ 20mL (estéril),LIDOCAINA + EPINEFRINA
"ENOXAPARINA 60 MG/ 0,6 ML SER",ENOXAPARINA SODICA
APTAMIL SEM LACTOSE,DHA (ACIDO DOCOSAHEXAENOICO) + EPA (ACIDO EICOSAPENTAENOICO)
CEFTRIAXONA 1G FA IM (INTRAMUSCULAR),CefTRIAXona
METOPROLOL 1MG / ML 5ML,METOPROLOL TARTARATO
CABOMETYX 20MG 30 CP REV,CABOZANTINIBE
QUEtiapina Fumarato 50mg Comprimido Revestido de Liberação Prolongada,QUEtiapina
PRISTIQ 50MG 28 CP REV C1,DESVENLAFAXINA
FLUNITRAZEPAM 1mg COMP**,FLUNITRAZEPAM
"Dostinex 0,5mg Comprimido ",CABERGOLINA
EXEMESTANO 25 mg,EXEMESTANO
"Remifentanil 2 mg, fr-amp 2mg",REMIFENTANILA
Citarabina 100 mg/5mL  fr amp (QT),CITARABINA
Higroton 25mg Cp.,CLORTALIDONA
Glicose 5% frasco sistema fechado c/ 500mL,SOLUCAO DE GLICOSE (SORO GLICOSADO)
PrednisoLONA FOSFATO SODICO SOLUCAO ORAL 3MG/ML 5ML (FARM),PrednisoLONA
NORtriptilina 10mg Cap (Med. Controlado) (Não Padrão),Nortriptilina
Alendronato 35mg/5mL Sol oral 50mL (Não Padrão),ALENDRONATO SODICO
"DEXAmetasona FOSFATO (2,5ML) INJETAVEL 4 MG/ML AMP",DEXAMETASONA
OMEPRAZOL 10MG (LOSEC MUPS) - COMPRIMIDO,OMEPRAZOL MAGNESIO
"Lonsurf 20mg + 9,420mg Comprimido Revestido",TRIFLURIDINA + CLORIDRATO DE TIPIRACILA 
"PACLITAXEL 6MG/ML 16,7ML FA",PACLITAXEL
"TERBUTALINA 0,5MG/ML 1ML SOL.INJ",TERBUTALINA
ALOPURINOL 100 mg,AloPURinol
LACOSAMIDA 200 mg,LACOSAMIDA
KefLEX 250mg/5mL Susp oral 100mL,Cefalexina
Koplan 400 Mg Fr/amp 3ml,TEICOPLANINA
PRIVINA SOL 1% (NAFAzolina NITRATO 1MG/ML) 15ML,NAFAZOLINA
PERINDOPRIL ARGININA 10MG CPR,PERINDOPRIL ARGININA (PERINDOPRIL ERBUMINA)
VANCOMICINA 1G SOL INJ,VANCOMICINA CLORIDRATO
SINVASTATINA 10 mg,SINVASTATINA
"SOL. FISIOLÓGICA 0,9% 20ML AMPOLA","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
Rocurônio 50mg inj. fram. 5mL,ROCURONIO
"SALBUTAMOL 0,5MG/ML 1ML- AMP",SALBUTAMOL (ALBUTEROL)
ESMOLOL CLORIDRATO DILUIDO SOLUCAO PARA INFUSAO 10MG/ML 250ML,ESMOLOL
Cloridrato de Doxiciclina 100mg drágea,DOXICICLINA
CLINDAMICINA 150 MG/ML SOLUCAO INJETAVEL AMPOLA 4 ML,CLINDAMICINA
PROPILTIOURACILA 100 MG COMP,PROPILTIOURACILA
Miosan CAF 5/30mg Cp rev,CICLOBENZAPRINA + CAFEINA
BRINZOLAMIDA 10MG/ML + TARTARATO DE BRIMONIDINA 2MG/ML SUSPENSAO OFTALMICA 8ML,BRINZOLAMIDA + BRIMONIDINA (COLÍRIO)
FENOBARBITAL (SOD)200MG SOL INJET 100MG/ML-AMP 2ML,FENOBARBITAL
Sucrafilm 1g cp mastig,SUCRALFATO
OXCARBAMAZEPINA 6% SUSP ORAL FRASCO 100ML,OXCARBAZEPINA
Klaricid UD 500mg Cp lib prolong,CLARITROMICINA
Hyfren 1mg/ml 1ml Inj.,ADRENALINA (EPINEFRINA)
Água Boricada 3% Fr. 100mL,AGUA BORICADA 
"Clexane 60mg/0,6ml Seringa #",ENOXAPARINA SODICA
Amoxicilina 500mg Cap,AMOXICILINA
MEROPENEM 1G IV BOLSA,MEROPENEM
"CLONAZEPAM 2,5MG/ML",CLONAZEPAM
LIDOCAINA+EPINEFrina 1%+1:200000 SOL. INJETAVEL FA 20ML,LIDOCAINA + EPINEFRINA
VASopressina 20 ui/ml solucao injetavel ampola 1mL,Vasopressina
Zyloric 100mg Cp,AloPURinol
Tapazol 10mg Comprimido,METIMAZOL (tiamazol)
"Oximetazolina, Cloridrato de 0,25mg/ml Pediatrico Fra 20ml",OXIMETAZOLINA
"BUDESONIDA 0,25MG/ML - SUSP P/NEBULIZACAO",BUDESONIDA
ALPROSTADIL 20MCG INJ,ALPROSTADIL (PROSTAGLANDINA E1)
GLIMEPIRIDA 1 mg,GliMEPIRida
CLORIDRATO DE HIDROXIZINA 2MG/ML - 120ML – SOLUÇÃO ORAL - FRASCO,HIDROXIZINA
HIDROCORTISONA PO LIO 500MG FA ENDOVENOSO,HIDROCORTISONA SUCCINATO SODICO
Isoconazol 1% Creme 20g,ISOCONAZOL (TOPICO)
CETOPROFENO 100MG (EV),CETOPROFENO
"Midazolam, Cloridrato de 5mg/ml Amp 10ml",MIDAZOLAM
HALDOL 5MG/ML AMP 1 ML,HaloPERidol
PREGABALINA 50MG CP - NP,PREGABALINA
HEPAMAX 5.000UI/ML 5ML FA (DAV),Heparina
LIPITOR 40MG 30 CP REV,ATORVASTATINA >10MG
Levotiroxina Sódica 100mcg Cp.,LevoTIROXina
AGUA DESTILADA 500ML,AGUA DESTILADA
MORFINA (SULFATO) 2MG SOLUCAO INJETAVEL 1MG/ML - AMPOLA 2ML,SULFATO DE MORFINA
Cilostazol 100 mg,Cilostazol
ATROPINA 1% 5ML,ATROPINA
PARACETAMOL 500MG+CAFEINA 65MG COMPRIMIDO REVESTIDO ,PARACETAMOL + CAFEINA
QT VINCRISTINA INJ. - VCR - MPP,VINCRISTINA
SOMALGIN CARDIO 325MG 32 CP,ACIDO  ACETILSALICILICO + GLICINATO DE ALUMINIO +  CARBONATO DE MAGNESIO                                              
BromoPRIDA 4 mg/ml solucao oral frasco (gotas) 20mL,BROMOPRIDA
EPINEFrina SOLUCAO INJETAVEL 1MG/ML 1ML,ADRENALINA (EPINEFRINA)
RISPERIDONA 1MG,RISPERIDONA
NILOtinibe 200mg CAPS,NILOTINIBE
Zyad Diário 5mg Cp rev (Não Padrão),TADALAFILA
Simeticona 125mg Capsula,SIMETICONA
"CLONazepam 0,5MG CP",CLONAZEPAM
CLADRIBINA SOLUCAO INJETAVEL 1MG/ML 8 ML##,CLADRIBINA
"CLOR. DE CIPROFLOXACINO 0,3% SOL. OFTALMICA FR 5ML",ciprofloxacino (OFTÁLMICA)
ALBOCRESIL 12ML SOLUCAO,POLICRESULENO
ENTRESTO 100MG (49+51) COMPRIMIDO,SACUBITRIL + VALSARTANA
CLOROQUINA DIFOSFATO CAPSULA 150MG,CLOROQUINA
"RIVOTRIL 2,5MG/ML GTS",CLONAZEPAM
AloPURInol 100MG CPR,AloPURinol
FENOBARBITAL 100MG / ML 2ML,FENOBARBITAL
AmioDARONA  200mg/ml Gotas (1 mL = 20 gotas) Frasco 30ml,AMIODARONA
TACROLIMUS 1 mg,TACROLIMO
Benzilpenicilina POTASSICA 5.000.000UI FAM,BENZILPENICILINA POTASSICA (CRISTALINA)
LEVOMEPROMAZINA 40MG/ML -SOLUÇÃO ORAL/GTS - FR 20ML N.P,LEVOMEPROMAZINA (METOTRIMEPRAZINA)
Lenalidomida 5mg Cap,LENALIDOMIDA
Epitegel Gel Oftálmico 10g,DEXPANTENOL (TOPICO)
Budesonida 3mg Cap,BUDESONIDA
DIAZEPAM 5 MG/ML AMP 2ML IM,DIAZEPAM
PANTOPRAZOL SODICO SESQUI-HIDRATADO 40 mg,PANTOPRAZOL
Solução de fósforo 4 mmol/ 5mL Frasco 250ml - Manipulado,FOSFORO
AGUA DESTILADA - FRASCO 250ML,AGUA DESTILADA
LIDOCAÍNA 1% S/V 10MG/ML - FR - AMP 20ML,LIDOCAINA CLORIDRATO
OLEO MINERAL 100% SOLUÇAO - FRASCO,OLEO MINERAL
"MetoTREXATO 2,5mg cp",METOTREXATO
"PIPERACILINA+TAZOBACTAN 4,5G F/A 20ML - INFUSAO PROLONGADA",PIPERACILINA + TAZOBACTAM
Cetoprofeno 50 mg/mL - 2mL,CETOPROFENO
NOREPinefrina 8mg (2mg/ml) Ampola 4ml,NOREPINEFRINA (NORADRENALINA)
(CARRO PARADA) FENOCRIS 100MG/ML 2ML AMP,FENOBARBITAL
Pantoprazol 40mg cp,PANTOPRAZOL
Addera D3 10.000 UI/mL Sol oral 10mL (Não Padrão),COLECALCIFEROL (VITAMINA D)
Salmeterol + Fluticasona 25 mcg + 125 mcg aerossol oral 120 doses,SALMETEROL + FLUTICASONA
PIRAZINAMIDA COMPRIMIDO 500MG MS,PIRAZINAMIDA
BETAISTINA 24 MG CMP,BETAISTINA
XELODA 500MG,CAPECITABINA
"Xylestesin 2% COM NOREPinefrina Sol inj 1,8mL",LIDOCAINA + EPINEFRINA
SACCHAROMYCES BOULARDII 100MG - CAPSULA,SACCHAROMYCES BOULARDII
ATEZOLIZUMABE 1200MG/20ML IV QT,ATEZOLIZUMABE
CETOPROFENO 1MG/1ML – 100ML (100MG) SOLUÇÃO INJETÁVEL - VIA INTRAVENOSA - BOLSA,CETOPROFENO
VACINA BCG 40MG,BCG (CEPA VIVA ATENUADA)
VITAMINA D PURA GOTAS 1000UI / GOTA,COLECALCIFEROL (VITAMINA D)
Cetoprofeno 1mg/ml Bolsa 100ml | Solução Para Infusão,CETOPROFENO
AMOXICILINA 1G + CLAVULANATO DE POTASSIO 200MG FA,AMOXICILINA + CLAVULANATO POTASSIO
Stalevo 100/25/200mg Cp rev (Med. Controlado) (Não Padrão),LEVODOPA + CARBIDOPA + ENTACAPONA
HIPODERMOCLISE - DIPIRONA 1000MG/2ML AMP,DipiRONA
AMIODARONA 50MG/ML SOL INJ,AMIODARONA
IMUNOGLOBULINA ANTITETANICA 250 UI,IMUNOGLOBULINA ANTITETANICA
FOSFATO DE SÓDIO MONOBASICO 160ML+ DIBASICO  60MG/ML,FOSFATO DE SODIO MONOBASICO + FOSFATO DE SODIO DIBASICO
"BISOPROLOL COMP 1,25 MG ""NP""",BISOPROLOL
REMIFENTANILA 2MG F/A - PADRAO - (CONTROLADO-MPP),REMIFENTANILA
Carboximaltose Ferrica 50mg/ml 10ml Fr/amp Ev,CARBOXIMALTOSE FERRICA
DOXAZOSINA 2MG COMP EMS,DOXAZOSINA
Cetoprofeno IV 100mg Injetável,CETOPROFENO
VITAMINA E 400 MG CAP,ACETATO DE RACEALFATOCOFEROL (VITAMINA E)
VERAPAMIL 80MG (DILACORON),VERAPAMIL
KefLIN 1g Inj,Cefalotina
riTUXimabe 100mg/10mL FA,RiTUXimabe
DABIGATRANA 75 MG VO,Dabigatrana
Imunoglobulina Humana ,IMUNOGLOBULINA HUMANA
DIGL. DE CLOREXIDINA 2% COM TENSOATIVOS SOL. TOPICA FR 100ML,CLOREXIDINA
PARACETAMOL 750MG CP,PARACETAMOL  (ACETAMINOFEM)
BENZILPENICILINA BENZATINA 1200.000UI INJ - IM,BENZILPENICILINA BENZATINA
DUPILUmabe 150MG - DISPOSITIVO,DUPILUMABE
fenoBARBITAL 100MG CPR,FENOBARBITAL
MC: CIPROFIBRATO 100 ,CIPROFIBRATO
CLORPROMAZINA 25MG COMPRIMIDO,ClorproMAZINA
NAPROXENO 550 mg,Naproxeno
"Terbutalina 0,5mg/ml Amp",TERBUTALINA
Ondansetrona Sol inj,ONDANSETRONA
AÇUCAR LIQUIDO AROMATIZADO EM SACHETS C/15GR SAC,AÇUCAR LIQUIDO (ADOÇANTE)
Hidróxido de Alumínio 80mg/ml + Hidróxido de Magnésio 80mg/ml + Simeticona 6 mg/ml Suspensão Oral Frasco 240ml,HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + SIMETICONA
Metformina 850mg Cp,METFORMINA
AMIODARONA 50MG/ML-3ML AMP IV HIPOLABOR,AMIODARONA
Citalopram 20 Mg Cp.,CITALOPRAM
Lorazepam 1mg,LORAZEPAM
ESOMEPRAZOL MAGNESICO 20MG COMP REVESTIDO (NP),ESOMEPRAZOL MAGNESIO
CLORIDRATO DE ONDANSETRONA 2MG/ML - 2ML (4MG) - SOLUÇÃO INJETÁVEL - AMPOLA,ONDANSETRONA
MICOFENOLATO DE MOFETILA 500 MILIGRAMAS (COMPRIMIDO),MICOFENOLATO MOFETIL
Clenil Compositum A  flac 2 ml,BECLOMETASONA + SALBUTAMOL
"PROPRANOLOL, CLOR. 40MG CAPSULA",PROPRANOLOL
ATROPINA SOLUCAO OFTALMICA 1% MINIMO DE 3ML (MAV),ATROPINA (OFTALMICO)
"TRAMADOL 50MG/ML C/ 2ML + SF 0,9& 100 ML",TRAMADOL CLORIDRATO
"CloNIDina 0,150mg cp.",CLONIDINA
EVEROLIMO 10MG VO QT,Everolimo
EMPAGLIFLOZINA 25 mg,empagliflozina 
CEFALEXINA 50MG/ML (250MG/5ML) - 60ML - SUSPENSÃO ORAL - FRASCO,Cefalexina
Teiplan 400mg Frasco-ampola + Diluente 3ml,TEICOPLANINA
(NP) Megestrol 160mg cp,MEGESTROL ACETATO
L-Glutamina (sachê 10 gramas),GLUTAMINA
Pantocal 40mg FA ,PANTOPRAZOL
"ROpivacaina 7,5MG/ML 20ML SOL.INJ",ROpivacaina
BLEOMICINA 15U QT,BLEOMICINA
"CEFEPIMA, CLOR F/A C/1G",CEFEPIMA
MC: DILTIAZEM 60MG ,DILTIAZEM
"Colagenase+Cloranfenicol 0,6U/g+0,01g/g Pom Bis 30g",COLAGENASE+CLORANFENICOL (TOPICO)
BREVIBLOC 10MG/ML 10ML FA,ESMOLOL
VALIUM 5MG CPR,DIAZEPAM
"VASOPRESSINA 20 UI/ML INJ + SF0,9% 250ML",Vasopressina
ESCOPOLAMINA BUTILBROMETO 20MG/ML GOTAS,ESCOPOLAMINA (HIOSCINA)
Citarabina - F/A 1mL 100 mg,CITARABINA
Fenobarbital 40mg/mL - 20mL,FENOBARBITAL
RACECADOTRILA 10MG SACHE,RACECADOTRILA
TIMOMODULINA 200 mg,TIMOMODULINA
Ciclofosfamida 50mg cpr,ciclofosfamida
"BUDESONIDA C/ 0,25MG/ML FRASCO DE 2 ML",BUDESONIDA
Complexo Protrombínico 500 UI Inj ,COMPLEXO PROTROMBINICO
IRINOTECANO CLORIDRATO SOLUCAO INJETAVEL 20MG/ML 5ML##,IRINOTECANO
HIPO - MORFINA 03 MG (AMP. 10MG/ML),SULFATO DE MORFINA
SOLUCAO RINGER COM LACTATO DE SODIO 500 ML,(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO
"CAPTOPRIL 12,5MG - COMP N.P",CAPTOPRIL
EPINEFrina 1MG/ML SOL. INJETAVEL AMP 1ML,ADRENALINA (EPINEFRINA)
ESPIRONOLACTONA COMPRIMIDO 25MG,ESPIRONOLACTONA
Neuleptil Pediátrico 1% Gotas 20ml,PERICIAZINA
DOMPERIDONA 10MG CP (MOTILIUM),DOMPERIDONA
"Naloxona 0,4 mg/mL solucao ampola 1 mL (C1)",NALOXONA
"OCTREOTIDA 0,1 MG/ML SOL INJ*",OCTREOTIDA
Omeprazol 40mg/10mL FA,OMEPRAZOL
VinORELBina 50mg Inj.,TARTARATO DE VINORELBINA
MC: DEXILANT,DEXLANSOPRAZOL
ISOSSORBIDA MONONITRATO 20MG COMPRIMIDO,ISOSSORBIDA
Encrise 20 Ui/ml Amp/1ml,Vasopressina
"Afrin Adulto 0,5mg/ml Frasco 30ml",OXIMETAZOLINA
OCITOCINA 1ML - 5UI - INJ (MEDICAMENTO DE RISCO),ocitocina
PROPIONATO DE CLOBETASOL CREME,CLOBETASOL (TOPICO)
LENALIDOMIDA CAPSULA GELATINOSA DURA 5MG,LENALIDOMIDA
Albendazol 400mg Comprimido Mastigável,ALBENDAZOL
Canabidiol Solução Oral 50mg/ml Frasco 30ml - Prati Donaduzzi,CANABIDIOL
VALPROATO DE SODIO COMP C/500MG,VALPROATO DE SODIO
METILPREDNISOLONA SUCCINATO 500MG,METILPREDNISOLONA
gabapentina 600 mg comprimido revestido,GABAPENTINA
QUEtiapina 100mg Comprimido Revestido - Biossintética,QUEtiapina
TROPICAMIDA 1% COLIRIO FRASCO 5ML,TROPICAMIDA
Haloperidol 5 mg  cp,HaloPERidol
LUGANO 12+250 MCG CAPSULA  INALATORIA,FLUTICASONA + FORMOTEROL
Ambroxol 30mg/5ml Fr 120ml,AMBROXOL (ACEBROFILINA)
FUROSEMIDA 20 mg,FUROSEMIDA
Ampicilina+Sulbactam 2 g + 1 g Po Liofilizado frasco-ampola,AMPICILINA SODICA + SULBACTAM
Litocit 10 meq = 1080 mg Comprimido de Liberação Prolongada,CITRATO DE POTASSIO
Losartana Potássica 50mg Comprimido Revestido Ems,LOSARTANA
XYLESTESIN 2% 20ML C/VASO FA (DAV),LIDOCAINA CLORIDRATO
NITROGLICERINA 25MG/5ML INJ,NitroGLICERINA
"TERBUTIL 0,5MG/ML 1ML AMP",TERBUTALINA
Olaparibe 150mg Cp rev,OLAPARIBE
Daptomicina 500mg Frasco-ampola. (A),DAPTOmicina
MC: CONCARDIO 5MG ,BISOPROLOL
"AMANTADINA, CLOR. 100MG CP",AMANTADINA
Besilato de Anlodipino 5mg + Benazepril 10mg Cápsulas ,ANLODIPINO + BENAZEPRIL
Budesonida 2mg Frasco Enema 100ml - Manipulado,BUDESONIDA
Morfina 10mg/ml Sol. Oral 60ml,SULFATO DE MORFINA
Aspartato de magnésio 250mg Cap (Não Padrão),ASPARTATO DE MAGNESIO
Fentanila 50mcg/ml Inj. Frasco c/ 10ml,FENTANILA
SORO GLICOSADO 5% 1000ML,SOLUCAO DE GLICOSE (SORO GLICOSADO)
MIDAZOLAM  50MG/10ML,MIDAZOLAM
OXIDO DE MAGNESIO 250MG CAPS,OXIDO DE MAGNESIO
INSULINA REGULAR HUMANA 1000UI/10ML FR-AMP,INSULINA REGULAR
LevoTIROXina 150mcg Comprimido,LevoTIROXina
MEGESTROL 160 MG (MEDICAMENTO DE RISCO),MEGESTROL ACETATO
CLORETO DE POTASSIO 10% AMP 10ML,CLORETO DE POTASSIO
Picoprep Env (Não Padrão) ,PICOSSULFATO DE SODIO + OXIDO DE MAGNESIO + ACIDO CITRICO ANIDRO 
"CLONAZEPAM SOL ORAL 2,5MG/ML FR 20ML",CLONAZEPAM
DEXAmetasona 4mg cp,DEXAMETASONA
AMOXICILINA 1G + CLAVULANATO DE POTÁSSIO 200MG IV,AMOXICILINA + CLAVULANATO POTASSIO
